metric_mse_loss_SI_only,0.17782339453697205,,300to400,600,None
metric_mse_loss_SI_only,0.19476382434368134,,300to400,600,None
mse_SI_only,0.0971,rsquare_SI_only,-0.8322,rsquare_all_features,0.9729,mae_mse_rmse_mape_mspe_rse,0.21028656, 0.097062886, 0.31154916, 1.7057244, 5.5343885, 1.3535833,run4,100to400,1000,None
mse_SI_only,0.0935,rsquare_SI_only,-0.7656,rsquare_all_features,0.9754,mae_mse_rmse_mape_mspe_rse,0.21358271, 0.093537, 0.3058382, 1.7269472, 7.204922, 1.3287711,run4,000to400,1000,None
mse_SI_only,0.0308,rsquare_SI_only,-0.2921,rsquare_all_features,0.9918,mae_mse_rmse_mape_mspe_rse,0.13840783, 0.030813282, 0.17553712, 2.154479, 13.36083, 1.1367202,run5,300to400,1000,None
mse_SI_only,0.0335,rsquare_SI_only,-0.4063,rsquare_all_features,0.9897,mae_mse_rmse_mape_mspe_rse,0.1333554, 0.033535086, 0.18312587, 1.6856061, 5.587526, 1.1858624,run5,200to400,1000,None
mse_SI_only,0.0295,rsquare_SI_only,-0.2352,rsquare_all_features,0.9911,mae_mse_rmse_mape_mspe_rse,0.141856, 0.029455638, 0.17162645, 2.2658675, 11.275326, 1.111396,run5,100to400,1000,None
mse_SI_only,0.0255,rsquare_SI_only,-0.0676,rsquare_all_features,0.9934,mae_mse_rmse_mape_mspe_rse,0.12197369, 0.02545981, 0.1595613, 1.3975648, 3.1730087, 1.0332661,run5,000to400,1000,None
mse_SI_only,0.0117,rsquare_SI_only,-0.4327,rsquare_all_features,0.9559,mae_mse_rmse_mape_mspe_rse,0.08931348, 0.011651205, 0.10794075, 1.5601866, 4.4376206, 1.1969737,run6,300to400,1000,None
mse_SI_only,0.0145,rsquare_SI_only,-0.7786,rsquare_all_features,0.9543,mae_mse_rmse_mape_mspe_rse,0.09636033, 0.014464088, 0.120266736, 1.8807795, 9.391743, 1.3336588,run6,200to400,1000,None
mse_SI_only,0.0332,rsquare_SI_only,-3.081,rsquare_all_features,0.9633,mae_mse_rmse_mape_mspe_rse,0.1433884, 0.03318677, 0.18217237, 2.1994777, 7.5504465, 2.0201411,run6,100to400,1000,None
mse_SI_only,0.0293,rsquare_SI_only,-2.6032,rsquare_all_features,0.9779,mae_mse_rmse_mape_mspe_rse,0.13300528, 0.029301172, 0.17117585, 2.5560217, 15.294273, 1.898199,run6,000to400,1000,None
